subjID	group	trial	x	y	solid_y	empty_y	points	rt
1	B	81.0	-0.00913242	-0.063165906	-0.247751346	-0.189942699	5100.0	0.9297
1	B	82.0	-0.00304414	0.111872146	-0.045477919	-0.034866404	5200.0	1.4564
1	B	83.0	-0.00152207	0.015981735	-0.157969088	-0.121109634	5300.0	0.6052
1	B	84.0	0.00152207	-0.084474886	-0.278650951	-0.213632396	5400.0	0.7497
1	B	85.0	-0.00761035	-0.031202435	0.130793313	0.100274873	5500.0	0.7874
1	B	86.0	-0.01369863	0.019025875	-0.155688598	-0.119361259	5600.0	0.9149
1	B	87.0	-0.01369863	0.019025875	0.207223741	0.158871535	5700.0	0.4799
1	B	88.0	-0.00608828	-0.101217656	0.06098807	0.04675752	5800.0	1.4007
1	B	89.0	0.00304414	0.087519026	-0.080069425	-0.061386559	5900.0	1.1214
1	B	90.0	0.02587519	-0.108828006	-0.290242437	-0.222519202	6000.0	0.7025
1	B	91.0	0.00761035	-0.099695586	0.061008061	0.046772847	6100.0	1.2826
1	B	92.0	-0.00761035	-0.058599696	-0.255222766	-0.195670788	6200.0	0.7538
1	B	93.0	-0.00761035	-0.026636225	-0.208369856	-0.159750223	6300.0	0.8995
1	B	94.0	-0.00761035	0.119482496	0.297206772	0.227858525	6400.0	0.9185
1	B	95.0	0.00608828	-0.017503805	0.150125576	0.115096275	6500.0	1.1668
1	B	96.0	-0.00152207	0.054033486	-0.121779011	-0.093363909	6600.0	0.866
1	B	97.0	0.00913242	0.127092846	-0.020074153	-0.015390184	6400.0	1.5011
1	B	98.0	-0.00608828	0.070776256	0.251934506	0.193149788	6500.0	0.7039
1	B	99.0	0.0	-0.063165906	-0.260020177	-0.199348803	6600.0	0.7302
1	B	100.0	0.0	-0.081430746	-0.285512253	-0.218892728	6700.0	0.8306
1	B	101.0	-0.00456621	0.044901065	-0.125298775	-0.096062394	6800.0	0.9487
1	B	102.0	0.0	0.143835616	-0.010928862	-0.008378794	6600.0	1.6519
1	B	103.0	0.01217656	0.067732116	0.244113653	0.187153801	6700.0	0.7341
1	B	104.0	0.00152207	-0.037290715	-0.21605842	-0.165644789	6800.0	0.6182
1	B	105.0	-0.00304414	0.101217656	-0.063548314	-0.048720374	6900.0	1.3516
1	B	106.0	0.00761035	-0.005327245	0.159716302	0.122449165	7000.0	0.7523
1	B	107.0	0.00761035	-0.005327245	-0.171201186	-0.131254242	7100.0	0.5199
1	B	108.0	-0.00152207	-0.046423135	-0.226676603	-0.173785395	7200.0	0.8205
1	B	109.0	-0.00152207	-0.040334855	-0.248619292	-0.190608124	7300.0	0.584
1	B	110.0	-0.00304414	-0.057077626	0.09653583	0.074010803	7400.0	0.5487
1	B	111.0	0.0	0.111872146	-0.042640593	-0.032691121	7500.0	1.4829
1	B	112.0	0.01065449	-0.081430746	0.072672154	0.055715318	7600.0	1.2511
1	B	113.0	0.00152207	0.040334855	-0.134925561	-0.10344293	7700.0	1.0554
1	B	114.0	0.0	-0.022070015	-0.189700043	-0.1454367	7800.0	0.6806
1	B	115.0	-0.00456621	-0.060121766	-0.244594226	-0.18752224	7900.0	0.9545
1	B	116.0	-0.01978691	0.000761035	0.165300952	0.12673073	8000.0	1.0037
1	B	117.0	-0.00608828	-0.069254186	0.082588292	0.063317691	8100.0	0.9982
1	B	118.0	-0.00152207	0.092085236	0.26214954	0.200981314	8200.0	1.1677
1	B	119.0	0.01065449	-0.046423135	-0.229567769	-0.176001956	8300.0	1.1391
1	B	120.0	-0.00913242	0.151445967	0.000670913	0.000514366	8100.0	2.1519
1	B	121.0	-0.00152207	0.096651446	-0.060930778	-0.046713597	8200.0	2.0708
1	B	122.0	-0.00456621	-0.072298326	-0.270037472	-0.207028728	8300.0	1.1017
1	B	123.0	0.00608828	-0.142313546	0.006869325	0.005266483	8100.0	2.0712
1	B	124.0	-0.00456621	-0.133181126	0.020770338	0.015923925	8200.0	2.0194
1	B	125.0	-0.02587519	0.136225266	0.288087101	0.220866778	8300.0	1.0014
1	B	126.0	-0.01978691	0.015981735	0.17550708	0.134555428	8400.0	0.8328
1	B	127.0	0.0	-0.085996956	-0.285178663	-0.218636975	8500.0	0.9158
1	B	128.0	0.00608828	0.078386606	-0.085467645	-0.065525195	8600.0	1.5862
1	B	129.0	-0.01826484	0.079908676	0.258150678	0.197915519	8700.0	0.7656
1	B	130.0	0.00304414	-0.046423135	0.113324698	0.086882268	8800.0	1.1511
1	B	131.0	-0.00304414	-0.064687976	-0.242606436	-0.185998267	8900.0	1.0165
1	B	132.0	0.00304414	-0.075342466	0.079645316	0.061061409	9000.0	1.117
1	B	133.0	0.00304414	-0.075342466	0.079417021	0.060886383	9100.0	0.6162
